comment,compound,sentiment
"People will tell this video was fake.
The video is real, deal with the facts.",-0.4767,Negative
"Maybe ASAP has a reality stone that bends reality, because that can only be the straight explanation for such an ART work LOL",0.6633,Positive
This might be one of the best music videos ever.,0.6369,Positive
ai video before ai,0.0,Neutral
I love this!!!!!,0.7482,Positive
The thing I love abt this video is that everytime you watch it you find something new 🔥,0.4215,Positive
This MV made my math score drop by 20 points 😭😭,-0.8074,Negative
Pure art.,0.0,Neutral
:3,0.5106,Positive
Eddie rush is now rich im so happy for him,0.8221,Positive
Na great production,0.6249,Positive
Hard af,-0.1027,Negative
What kinda video is this gng✌️💔,0.2732,Positive
I FEEL LIKE IM AT A DIDDY PARTY,0.6369,Positive
sağlam içip sağlam olmayan kafalarla düşünülmüş bir klip,0.0,Neutral
My fav is the boxer dog on the phone,0.4588,Positive
Always come back to check what I missed.,-0.296,Negative
my dreams:,0.4019,Positive
If Pieter Bruegel was a director,0.0,Neutral
NOW THIS IS SOME PSYCHOPATH ON STEROIDS SHIT ‼️😂😅,0.0173,Neutral
Чисто русский сон при температуре 39😂,0.4404,Positive
Old Tik Tok banned for Life Ras Emilio Heru Selassie I,-0.4588,Negative
where the grammy at?,0.0,Neutral
"camera man: how weird do u want the video to be
rocky: yes",0.3182,Positive
theres too much going on LMAOO,0.0,Neutral
ASAP Rocky tem uma sonoridade diferente e trás a sempre algo novo os vídeos clipes dele reflete isto,0.0,Neutral
🔥🔥,-0.5859,Negative
God signed up for an interesting specimen on this one.,0.5859,Positive
❤,0.6369,Positive
"My current status
South Korean who participated in the Russian-Ukrainian War
Best 3 minutes after drugs
After the battle",-0.3182,Negative
Normaly day in west europe,0.0,Neutral
Ngl ts would be a good family episode,0.4404,Positive
What did i watch with my eyes 😅❤❤,0.8979,Positive
Drop the album mf wtf you waiting for now,-0.7096,Negative
Doing anything but dropping the album 😭🙏🏼🥀🥀,-0.631,Negative
Bros STILL tripping from that acid song? 😂,0.4404,Positive
His reaction when he saw the parachute guy is my reaction watching this entire video like wtfff😮,0.3612,Positive
that clip deserves an Oscar,0.0,Neutral
🔥🔥🔥🔥,-0.8225,Negative
Fooooooriiiiiiii ❤❤❤❤❤😂😂❤😂❤😂😂🎉,0.9934,Positive
Could be a Salvatore Ganacci video,0.0,Neutral
this is like when I fell asleep reading Carl jung's Map of the soul and had a night terror that lasted years but I woke up sweating after only one hour,-0.1154,Negative
Doing wonders for my ADHD,0.0,Neutral
My city,0.0,Neutral
When you let AI make your music video. Lol. Seriously so love this song and this video.,0.7645,Positive
This is a GRAMMY WINNING MUSIC VIDEO OF 2025!!!🔥🇿🇦🔥🔥🔥,-0.4484,Negative
Wtf is going on here 😂😂😂,0.5994,Positive
2:24 the head spin into the ground,0.0,Neutral
The guy head spinning into the ground was the best part 😂,0.7964,Positive
wtf is this video 😭😭😭,-0.9201,Negative
